SKU,Description,SP,CP,SP,productname,Brand,Size,imgurl,Stock
395279-E350Y-0142,"
							The Asics Gel-Resolution 5 is amongst the tennis shoe elite. Packed full of technology, they combine to create a shoe that performs at an exceptionally high standard on all surfaces giving your game the flexibility and consistency to perform at your best.

The Impact Guidance System enhances the foot's natural gait from heel strike to toe-off improving the efficiency and comfort of your foot-strike and movement. The featured heal clutching system offers an extra skeletal heel counter providing improved support and creating an improved heel fitting environment.

Biomorphic Fit technology allows the upper of the shoe to move in harmony with the foot, giving more comfort while in motion. This fit means the shoe material does not bunch, reducing the risk of blisters or irritation.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability. With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle.

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability. There are also discrete, independently placed eyelets where the laces pass through the upper and disperse lace tension which leads to an improved fit and reduces possible irritation.

The discreet Eyeletstay lacing uses independently placed eyelets to disperse lace tension, creating a customised fit and enhanced upper comfort.MaterialRubber Synthetic Material 						",89.99,10499,12283.83,ASICS Gel-Resolution 5 Ladies Tennis Shoes,ASICS,UK3;UK3.5;UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9,"http://products.activinstinct.com/y2013/m12/395279/42465183-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395309-E353Y-0119,"
							The Asics Gel-Challenger 9 is a superb tennis shoe that benefits from a number of tennis specific technologies to give your feet the protection, support and comfort they need to endure a long match or intense training session.

Features and Benefits:

The Trusstic system is employed to reduce the weight of the sole unit while retaining the structural integrity of the shoe so you get excellent support combined with lightweight durability. It benefits from P-Guard, an abrasion and tear resistant synthetic material for increased upper durability.

With rearfoot and forefoot GEL cushioning systems employed it attenuates shock during impact and toe-off phases allowing movement in multiple planes as the foot transitions through the gait cycle. The perforated synthetic leather upper is both lightweight and comfortable enhancing performance and fit.

The Solyte midsole is a proprietary cushioning material that provides an exceptionally lightweight midsole with excellent bounce-back and durability.MaterialRubber Synthetic Material 						",69.99,8499,9943.83,ASICS Gel-Challenger 9 Ladies Tennis Shoes,ASICS,UK3;UK3.5;UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10,"http://products.activinstinct.com/y2013/m12/395309/27478662-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
263554-92649-115-M,"
							The K-Swiss Grancourt II Tennis Shoe provides affordable performance on the court and is a great entry level shoe. This shoe features a design and construction that pays homage to classic tennis design whilst ensuring durability comfort and performance.

The Upper is constructed from leather and features a reinforced toe area ensuring both comfort and durability.

K-EVA in the midsole provides excellent cushioning and durability whilst the Shock spring ensures superior cushioning in the heel and forefoot.

Solid rubber outsole provides for enhanced traction and durability.MaterialLeather 100%						",44.99,5999,7018.83,K-SWISS Grancourt II Omni Ladies Tennis Shoes,K-SWISS,UK3;UK3.5;UK4;UK4.5;UK5;UK5.5;UK6;UK7,"http://products.activinstinct.com/y2011/m12/263554/83343368-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
395341-E359Y-0119,"
							Upper constructed from nylon and synthetic leather for comfort, support and durability.

The forefoot GEL cushioning system consists of a silicone-based material placed in critical areas of the sole which dampens shock when the foot hits the ground, allowing for smoother movement through the gait cycle.

There is California Lasting supplies stability and comfort. The upper is stitched around a canvas or EVA board and directly attached to the midsole.MaterialRubber Synthetic Material 						",45,6000,7020,ASICS Gel-Dedicate 3 OC Ladies Tennis Shoes,ASICS,UK3;UK3.5;UK4;UK4.5;UK5;UK6;UK7.5;UK8;UK8.5,"http://products.activinstinct.com/y2013/m12/395341/97468594-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
263435-92648-115-M,"
							The K-Swiss Grancourt II Tennis Shoe provides affordable performance on the court and is a great entry level shoe. This shoe features a design and construction that pays homage to classic tennis design whilst ensuring durability comfort and performance.

The Upper is constructed from leather and features a reinforced toe area ensuring both comfort and durability.

K-EVA in the midsole provides excellent cushioning and durability whilst the Shock spring ensures superior cushioning in the heel and forefoot.

Solid rubber outsole provides for enhanced traction and durability.MaterialLeather 100%						",44.99,5999,7018.83,K-SWISS Grancourt II Ladies Tennis Shoes,K-SWISS,UK3;UK3.5;UK4;UK5;UK5.5;UK6;UK6.5;UK7;UK8,"http://products.activinstinct.com/y2011/m12/263435/68457173-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
17221-91121-147,"
							The K-Swiss Oushine EU Shoe is designed to get you moving round the court in total comfort whilst remaining durable and sturdy for those who get around the court quickly and play an all encompassing game. Featuring a raised pimple profile to be used on clay and artificial grass surfaces.

Durability is provided by the leather/synthetic leather upper giving real longevity to the shoe no matter how many hours you put in on the court. The high-abrasion toe-wrap provides extra lateral stability, so crucial to performing at your best on the court.

The one piece rubber outsole features durable Aösta II high density rubber outsole for durability.

The compression moulded EVA midsole features Shock Spring cushioning technology located in the heel and forefoot for game enhancing response and cushioning.MaterialLeather 						",53.99,6899,8071.83,K-SWISS Outshine Omni Ladies Tennis Shoes ,K-SWISS,UK3;UK4;UK4.5;UK5;UK5.5;UK6.5;UK7;UK7.5;UK8,"http://products.activinstinct.com/y2008/m12/17221/17221-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
421148-D65993,"
							Styled just like the world's top tennis shoe, this junior version of the Barricade comes in a lightweight, durable synthetic upper with forefoot stability and ADIPRENE heel cushioning for serious court play.


Synthetic upper for light weight and durability
ADIPRENE+ in the forefoot maintains propulsion and efficiency
Eco-OrthoLite antimicrobial foam insole for kids
TORSION provides adaptive midfoot support
ADIPRENE under the heel for superior cushioning at impact
NON MARKING rubber outsoleMaterialRubber Synthetic Material 						",35.99,5099,5965.83,ADIDAS Barricade Team 3 Junior Tennis Shoes,ADIDAS,UK3;UK4;UK5;UK5.5,"http://products.activinstinct.com/y2014/m04/421148/48118556-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
405464-WRS317890,"
							The Wilson Rush Swing Ladies Tennis Shoe utilises a range of technologies to provide you with a mixture of comfort, performance and durability, all of which are essential to helping you on your way to winning more games, sets and matches.

DF3 provides forefoot responsiveness and all round court feel with cushioning and comfort.

RDST provides superior cushioning in the heel and improved rebound in the forefoot for faster response time.

Duralast Outsole improves court traction and grip for maximum wear and durability.MaterialRubber Synthetic Material 						",35.99,5099,5965.83,WILSON Rush Swing Ladies Tennis Shoe,WILSON,UK3.5;UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,"http://products.activinstinct.com/y2014/m01/405464/88903556-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
422818-633307-101,"
							The Nike Vapor Court Boys' Tennis Shoe has Dynamic Fit technology for a secure fit with a locked-down feel. A soft upper and Phylon midsole deliver superior lightweight comfort and cushioning.

Benefits

Dynamic Fit system wraps the midfoot and arch for a glove-like fit
Split leather upper for a supple fit and feel
Synthetic leather strategically placed in high-wear areas for durability
Full-length Phylon midsole for soft, lightweight cushioning
Omni traction for durability in high-wear areas

Product Details

Low-top design for ankle mobility
Flex grooves for a natural range of motionMaterialRubber Synthetic 						",28.99,4399,5146.83,NIKE Vapor Court Junior Tennis Shoe,NIKE,UK4;UK4.5;UK5,"http://products.activinstinct.com/y2014/m04/422818/63383162-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
17201-91120-147,"
							The K-Swiss Oushine EU Shoe is designed to get you moving round the court in total comfort whilst remaining durable and sturdy for those who get around the court quickly and play an all encompassing game.

Durability is provided by the leather/synthetic leather upper giving real longevity to the shoe no matter how many hours you put in on the court. The high-abrasion toe-wrap provides extra lateral stability, so crucial to performing at your best on the court.

The one piece rubber outsole features durable Aösta II high density rubber outsole for durability. The featured herringbone tread pattern is clay friendly.

The compression moulded EVA midsole features Shock Spring cushioning technology located in the heel and forefoot for game enhancing response and cushioning.MaterialLeather 100%						",53.99,6899,8071.83,K-SWISS Outshine Ladies Tennis Shoes ,K-SWISS,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,"http://products.activinstinct.com/y2008/m12/17201/17201-1-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
408628-93027-189-M,"
							The K-Swiss Bigshot Light is the lightest performance tennis shoe from K-Swiss and features a 180 degree thermal plastic Plantar Support Chassis that enhances mid foot stability.

The K-Swiss Flow Cool system ensures your feet stay cool and dry from heel- to toe in even the most testing of hot conditions out on the court.

Fitted with K-Swiss Draguard technology, located in high wear areas of the toe and heel offer increased abrasion-resistance whilst Durawrap technology provides an extra line of defence against excessive toe-dragging.

The Midsole is fitted with a superb arsenal of technologies. K-EVA specialized EVA provides maximized cushioning and enhanced durability. Y-beam technology, a mid-foot support structure, anchors the arch area with a TPU injection component.

Aosta 7.0 rubber compound outsole features lateral support outrigger providing further comfort and support.MaterialRubber Synthetic 						",58.49,7349,8598.33,K-SWISS Bigshot Light Ladies Tennis Shoe,K-SWISS,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,"http://products.activinstinct.com/y2014/m02/408628/47790210-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
